"","country","mask_percent","date","fear_percent","continent","new_deaths","new_deaths_smoothed_per_million","new_deaths_per_million","total_deaths_per_million"
"1","Australia",10,2020-03-15,35,"Oceania",0,0,0,0.116
"2","Australia",13,2020-03-22,47,"Oceania",0,0.022,0,0.271
"3","Australia",20,2020-03-29,60,"Oceania",2,0.05,0.078,0.62
"4","Australia",23,2020-04-05,53,"Oceania",5,0.105,0.194,1.357
"5","Australia",26,2020-04-12,55,"Oceania",3,0.138,0.116,2.327
"6","Australia",27,2020-04-19,49,"Oceania",0,0.039,0,2.598
"7","Australia",24,2020-04-26,48,"Oceania",3,0.089,0.116,3.219
"8","Australia",25,2020-05-03,44,"Oceania",1,0.066,0.039,3.684
"9","Australia",18,2020-05-22,41,"Oceania",0,0.017,0,3.917
"10","Australia",17,2020-06-05,37,"Oceania",0,-0.006,0,3.955
"11","Australia",21,2020-06-19,41,"Oceania",0,0,0,3.955
"12","Australia",20,2020-07-03,45,"Oceania",0,0,0,4.033
"13","Australia",41,2020-08-02,52,"Oceania",13,0.332,0.504,8.57
"14","Australia",70,2021-07-19,45,"Oceania",1,0.017,0.039,35.481
"15","Australia",72,2021-08-16,45,"Oceania",1,0.133,0.039,37.498
"16","Australia",69,2021-09-12,45,"Oceania",7,0.299,0.271,42.578
"17","Australia",68,2021-10-10,42,"Oceania",16,0.565,0.62,56.15
"18","Canada",6,2020-03-17,45,"North America",2,0.019,0.053,0.158
"19","Canada",9,2020-03-23,55,"North America",7,0.094,0.184,0.762
"20","Canada",16,2020-03-30,66,"North America",29,0.36,0.762,3.284
"21","Canada",18,2020-04-06,69,"North America",85,1.482,2.233,13.66
"22","Canada",16,2020-04-13,60,"North America",130,2.646,3.415,32.179
"23","Canada",31,2020-04-20,65,"North America",146,4,3.835,60.182
"24","Canada",41,2020-04-27,59,"North America",185,4.758,4.86,93.491
"25","Canada",49,2020-05-26,54,"North America",92,2.567,2.417,197.332
"26","Canada",58,2020-06-11,49,"North America",31,1.077,0.814,221
"27","Canada",60,2020-06-26,53,"North America",7,0.563,0.184,229.327
"28","Canada",60,2020-07-07,54,"North America",7,0.236,0.184,232.295
"29","Canada",74,2020-07-21,55,"North America",7,0.203,0.184,235.211
"30","Canada",79,2020-08-04,57,"North America",8,0.158,0.21,237.549
"31","Canada",80,2020-09-01,53,"North America",4,0.143,0.105,241.595
"32","Canada",84,2020-10-30,57,"North America",45,0.874,1.182,268.914
"33","Canada",86,2020-11-27,60,"North America",86,1.978,2.259,314.911
